epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,806.24,1.24988,2.17372,1.27685,0.46749,0.25483,0.19249,0.11457,1.45954,3.83772,1.41876,0.0674811,0.00066365,0.00066365
2,1608.16,1.31526,1.82121,1.34169,0.44276,0.37464,0.35568,0.22159,1.25411,1.95913,1.32708,0.0347047,0.00122057,0.00122057
3,2413.81,1.28902,1.698,1.31298,0.51936,0.34228,0.36709,0.23267,1.31562,1.87274,1.32053,0.00181831,0.00166748,0.00166748
4,3219.23,1.21988,1.53833,1.26223,0.59775,0.43845,0.48074,0.32208,1.15935,1.47365,1.19467,0.001505,0.001505,0.001505
5,4022.21,1.11969,1.31816,1.18801,0.6518,0.51018,0.54633,0.36662,1.07274,1.26689,1.15384,0.00134,0.00134,0.00134
6,4823.26,1.04296,1.19385,1.14761,0.7013,0.5212,0.55667,0.37801,1.00885,1.18608,1.11966,0.001175,0.001175,0.001175
7,5625.11,0.98091,1.08352,1.09911,0.71013,0.47421,0.54954,0.39723,0.95513,1.09104,1.08031,0.00101,0.00101,0.00101
8,6425.01,0.93037,1.01233,1.07418,0.71214,0.59103,0.6267,0.43967,0.9192,1.02585,1.05223,0.000845,0.000845,0.000845
9,7226.05,0.86084,0.9251,1.03238,0.7925,0.57812,0.65225,0.47713,0.82564,0.8721,1.00886,0.00068,0.00068,0.00068
10,8027.07,0.81421,0.8195,1.00904,0.83885,0.56728,0.67041,0.48638,0.80104,0.84918,1.00393,0.000515,0.000515,0.000515
11,8831.74,0.76005,0.74966,0.98344,0.80543,0.60314,0.68044,0.51309,0.74532,0.77195,0.98526,0.00035,0.00035,0.00035
12,9633.49,0.70562,0.68398,0.95512,0.84869,0.61996,0.69842,0.53182,0.70683,0.7138,0.96233,0.000185,0.000185,0.000185
